Datum;Unfaelle_mit_Alkoholeinfluss;Unfaelle_Fahrrad;Unfaelle_Motorrad_roller;Verunglueckte_Kinder_u15J;Verunglueckte_Fussgaenger;Verunglueckte_auf_EScooter;Getoetete_insgesamt;PKWPersschaden
09.04.2010;79;178;82;62;68;;7;605
10.04.2010;133;147;91;75;65;;12;518
11.04.2010;142;58;17;20;21;;9;287
12.04.2010;37;175;43;76;79;;9;581
13.04.2010;53;217;61;83;80;;6;629
14.04.2010;46;221;57;79;79;;6;625
15.04.2010;60;225;59;102;120;;6;688
16.04.2010;79;221;95;119;83;;15;762
17.04.2010;177;227;167;107;79;;15;698
18.04.2010;180;201;207;64;50;;33;544
19.04.2010;67;246;79;108;83;;11;776
20.04.2010;50;234;79;92;87;;7;704
21.04.2010;57;229;59;81;79;;9;729
22.04.2010;79;266;85;134;121;;11;791
23.04.2010;99;308;152;122;103;;12;942
24.04.2010;185;279;185;101;78;;19;698
25.04.2010;202;234;260;84;55;;23;587
26.04.2010;70;243;55;101;105;;12;770
27.04.2010;62;333;63;122;89;;12;757
28.04.2010;59;366;112;141;97;;10;755
29.04.2010;88;400;139;128;103;;14;857
30.04.2010;127;305;84;154;117;;9;902
01.05.2010;288;168;75;60;85;;8;453
02.05.2010;148;87;48;60;55;;11;425
03.05.2010;67;176;26;112;94;;6;745
04.05.2010;50;220;45;89;78;;2;633
05.05.2010;72;268;60;98;95;;9;697
06.05.2010;78;172;32;99;91;;14;829
07.05.2010;104;183;35;92;94;;12;847
08.05.2010;176;132;82;67;53;;6;531
09.05.2010;181;113;66;48;39;;7;401
10.05.2010;57;213;47;93;80;;10;650
11.05.2010;51;246;29;114;74;;6;650
12.05.2010;91;256;43;125;102;;14;780
13.05.2010;296;155;61;47;64;;11;389
14.05.2010;118;159;58;69;67;;7;583
15.05.2010;121;98;57;64;56;;15;453
16.05.2010;151;128;96;56;50;;10;429
17.05.2010;81;241;58;81;86;;8;688
18.05.2010;51;222;55;98;66;;7;616
19.05.2010;71;197;37;97;82;;7;685
20.05.2010;93;245;53;101;76;;8;698
21.05.2010;113;289;125;118;104;;11;874
22.05.2010;194;233;185;88;72;;13;639
23.05.2010;220;262;233;79;59;;20;527
24.05.2010;126;244;151;86;48;;9;484
25.05.2010;63;281;93;111;105;;14;814
26.05.2010;48;272;55;108;84;;12;722
27.05.2010;68;236;43;93;77;;10;673
28.05.2010;113;264;83;119;90;;13;735
29.05.2010;177;263;158;111;73;;16;632
30.05.2010;199;96;35;58;49;;12;480
31.05.2010;80;185;41;97;88;;4;716
01.06.2010;66;250;49;98;77;;6;650
02.06.2010;90;267;80;117;100;;8;804
03.06.2010;142;305;125;117;101;;11;681
04.06.2010;127;431;193;153;105;;10;1037
05.06.2010;193;336;215;114;77;;14;778
06.06.2010;180;247;180;89;50;;20;591
07.06.2010;65;250;81;88;80;;8;741
08.06.2010;78;374;86;122;94;;15;838
09.06.2010;63;443;81;127;99;;9;831
10.06.2010;84;408;91;144;111;;8;883
11.06.2010;118;389;156;150;108;;18;942
12.06.2010;180;241;93;106;85;;7;659
13.06.2010;209;202;120;64;65;;11;513
14.06.2010;79;350;78;124;86;;17;828
15.06.2010;56;365;69;137;102;;11;764
16.06.2010;75;419;119;139;91;;6;933
17.06.2010;61;369;89;136;100;;12;873
18.06.2010;152;329;97;140;112;;8;922
19.06.2010;165;146;60;73;63;;6;558
20.06.2010;179;116;60;51;45;;12;388
21.06.2010;69;303;66;121;74;;15;728
22.06.2010;73;325;116;119;112;;12;779
23.06.2010;96;413;117;138;106;;11;892
24.06.2010;114;457;121;117;91;;7;868
25.06.2010;116;423;152;157;92;;17;910
26.06.2010;189;317;196;105;70;;18;723
27.06.2010;259;317;178;101;83;;21;660
28.06.2010;89;437;126;135;72;;9;907
29.06.2010;68;462;111;142;83;;16;886
30.06.2010;104;479;124;145;81;;13;912
01.07.2010;113;467;140;139;100;;12;949
02.07.2010;122;429;152;140;93;;19;1014
03.07.2010;293;310;130;110;98;;13;762
04.07.2010;170;218;114;112;38;;24;534
05.07.2010;86;422;85;146;88;;12;925
06.07.2010;82;399;86;142;108;;6;851
07.07.2010;91;462;120;145;104;;14;947
08.07.2010;101;396;131;127;79;;18;891
09.07.2010;111;376;151;116;90;;20;943
10.07.2010;199;258;127;94;81;;13;702
11.07.2010;170;182;116;78;44;;12;518
12.07.2010;85;357;94;115;83;;9;896
13.07.2010;81;371;101;101;88;;15;776
14.07.2010;94;396;110;109;84;;23;876
15.07.2010;95;355;91;123;84;;14;835
16.07.2010;132;394;139;123;90;;19;969
17.07.2010;203;231;91;91;63;;17;647
18.07.2010;189;284;165;83;53;;18;541
19.07.2010;93;410;113;124;75;;13;917
20.07.2010;75;408;126;107;82;;9;870
21.07.2010;100;347;105;96;68;;10;746
22.07.2010;88;284;70;82;67;;5;729
23.07.2010;127;253;50;100;84;;10;844
24.07.2010;186;158;58;73;64;;10;573
25.07.2010;183;200;133;66;41;;17;471
26.07.2010;77;233;52;80;78;;18;759
27.07.2010;68;263;56;95;70;;9;631
28.07.2010;64;210;45;90;54;;6;673
29.07.2010;80;225;59;76;70;;13;730
30.07.2010;120;302;90;99;94;;12;748
31.07.2010;224;269;154;95;67;;21;641
01.08.2010;215;229;137;69;34;;16;496
02.08.2010;86;228;56;79;75;;9;712
03.08.2010;73;243;62;61;61;;8;720
04.08.2010;87;265;73;87;61;;8;652
